Last Name,First Name,Rk,Tm,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP
Abreu,Bobby,4,TOT,686,15,107,30,0.297,0.886,0.401,3.9,154,149,-10,OF,0
Atkins,Garrett,45,COL,695,29,120,4,0.329,0.965,0.416,5,157,157,11,3B-1B,0
Ausmus,Brad,47,HOU,502,2,39,3,0.23,0.593,0.285,-0.3,138,124,0,C-2B-1B,0
Barfield,Josh,66,SDP,578,13,58,21,0.28,0.741,0.337,3.1,147,138,-5,2B,0
Barmes,Clint,68,COL,535,7,56,5,0.22,0.598,0.275,1.2,127,122,15,SS-2B,0
Bay,Jason,80,PIT,689,35,109,11,0.286,0.928,0.399,4.3,157,157,5,OF,0
Bell,David,88,TOT,566,10,63,3,0.27,0.736,0.332,1.3,143,138,-14,3B,0
Belliard,Ronnie,93,TOT,590,13,67,2,0.272,0.725,0.32,1.6,146,142,-1,2B-3B,0
Beltrán,Carlos,96,NYM,617,41,116,18,0.275,0.982,0.432,8.2,136,136,16,OF,0
Beltré,Adrián,97,SEA,681,25,89,11,0.268,0.792,0.355,5.4,155,155,16,3B-2B,0
Berkman,Lance,103,HOU,646,45,136,3,0.315,1.041,0.436,6,144,144,1,1B-OF,0
Berroa,Angel,104,KCR,503,9,54,3,0.234,0.592,0.27,-1.5,131,129,-11,SS,0
Betancourt,Yuniesky,106,SEA,584,8,47,11,0.289,0.713,0.319,1.8,157,156,3,SS,0
Biggio,Craig,111,HOU,607,21,62,3,0.246,0.727,0.319,0.4,129,127,11,2B,0
Blalock,Hank,115,TEX,646,16,89,1,0.266,0.726,0.322,0.3,122,120,-10,3B,0
Brown,Emil,158,KCR,601,15,81,6,0.287,0.815,0.356,2,134,130,3,OF,0
Burrell,Pat,172,PHI,567,29,95,0,0.258,0.89,0.391,1.1,126,126,-8,OF,0
Byrnes,Eric,178,ARI,606,26,79,25,0.267,0.795,0.353,1.8,137,130,9,OF,0
Cabrera,Miguel,182,FLA,676,26,114,9,0.339,0.998,0.426,5.8,127,121,-10,OF,0
Cabrera,Orlando,183,LAA,675,9,72,27,0.282,0.738,0.339,2.2,157,157,-6,3B,0
Cabrera,Melky,181,NYY,524,7,50,12,0.28,0.752,0.349,3,152,152,-2,SS,0
Cameron,Mike,188,SDP,634,22,83,25,0.268,0.837,0.372,4.4,141,139,9,OF,0
Carroll,Jamey,200,COL,534,5,36,10,0.3,0.781,0.35,3.3,121,110,27,2B-SS-3B,0
Castillo,Jose,210,PIT,562,14,65,6,0.253,0.682,0.3,-1.3,145,141,-15,2B,0
Castillo,Luis,211,MIN,652,3,49,25,0.296,0.728,0.333,2.4,142,142,-6,2B,0
Cedeno,Ronny,220,CHC,572,6,41,8,0.245,0.61,0.267,-1.7,147,144,-4,SS-2B,0
Chavez,Eric,226,OAK,576,22,72,3,0.241,0.786,0.344,2.8,134,133,10,3B,0
Clayton,Royce,244,TOT,502,2,40,14,0.258,0.648,0.294,-0.8,129,121,-8,SS,0
Conine,Jeff,257,TOT,539,10,66,3,0.268,0.724,0.325,-0.3,136,121,-1,OF-1B-3B,0
Crawford,Carl,284,TBD,653,18,77,58,0.305,0.83,0.377,4.5,148,145,4,OF,0
Crede,Joe,285,CHW,586,30,94,0,0.283,0.828,0.357,4.8,149,146,14,3B,0
Cuddyer,Michael,292,MIN,635,24,109,6,0.284,0.867,0.378,2.7,147,143,-8,OF-1B,0
Damon,Johnny,295,NYY,671,24,80,25,0.285,0.841,0.368,3.4,131,129,2,OF-1B,0
DeRosa,Mark,315,TEX,572,13,74,4,0.296,0.812,0.366,3.6,133,133,2,OF-3B-2B-SS-1B,0
Delgado,Carlos,310,NYM,618,38,114,0,0.265,0.909,0.383,2.7,141,141,6,1B,0
Drew,J.D.,333,LAD,594,20,100,2,0.283,0.891,0.386,4,135,131,-2,OF,0
Dunn,Adam,340,CIN,683,40,92,7,0.234,0.855,0.37,0.4,158,158,-11,OF-1B,0
